date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:41	33228/33228	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:40%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-vinh-xanh-vinhomes-ocean-park-3-the-crown-20250317080522-xt24t.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-vinh-xanh-vinhomes-ocean-park-3-the-crown-20250317080522-xt24t.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:41	28652/28652	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:41%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-pho-bien-vinhomes-ocean-park-3-the-crown-20250317080522-v9mla.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-pho-bien-vinhomes-ocean-park-3-the-crown-20250317080522-v9mla.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:41	38701/38701	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:41%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-anh-duong-vinhomes-ocean-park-3-the-crown-20250317080521-qcwpx.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-anh-duong-vinhomes-ocean-park-3-the-crown-20250317080521-qcwpx.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:42	36607/36607	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:41%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-dao-ngoc-vinhomes-ocean-park-3-the-crown-20250317080521-u3ppt.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/mat-bang-phan-khu-dao-ngoc-vinhomes-ocean-park-3-the-crown-20250317080521-u3ppt.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:42	48283/48283	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:41%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420147764082_a853f72b3836ac85017752b707ed570b-20250319013851--oqrw.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420147764082_a853f72b3836ac85017752b707ed570b-20250319013851--oqrw.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:42	53939/53939	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:41%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420147763967_985d9386cd0f7ab4ad1a4ad1f7c8a2c1-20250319013851-g1dhk.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420147763967_985d9386cd0f7ab4ad1a4ad1f7c8a2c1-20250319013851-g1dhk.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:43	58553/58553	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:42%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149024684_65302ce757e48034a8f9a16a60c56783-20250319012637-_5bda.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149024684_65302ce757e48034a8f9a16a60c56783-20250319012637-_5bda.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:43	46675/46675	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:42%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149056282_eee201fc20618e134166a373bc28f395-20250319012637-tbiux.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149056282_eee201fc20618e134166a373bc28f395-20250319012637-tbiux.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:43	77099/77099	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:42%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149033140_12de69e8261df6ee59276d2253c980a3-20250319012637-any1y.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149033140_12de69e8261df6ee59276d2253c980a3-20250319012637-any1y.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
10:38:43	56839/56839	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2003:38:42%20GMT	https://w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149078470_7275f61e1de599297af4f0117d63d46e-20250319012637-emj8e.jpg	C:/Users/Admin/Desktop/landing_page/w.ladicdn.com/s400x400/606598e311f3750020645a01/z6420149078470_7275f61e1de599297af4f0117d63d46e-20250319012637-emj8e.jpg	(from https://www.noxhtrangcat.io.vn/?gad_source=1&gad_campaignid=22778547525&gbraid=0AAAABAa9n2vSKU3zLVxAy-dTl2B5jJzer&gclid=CjwKCAjw49vEBhAVEiwADnMbbAIYMx88gCcjtrtqQ99kHe0PVx5ojO9Mae117_oFzvE3yW5vAlVEDhoCCT0QAvD_BwE&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
